City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Sibenik,HR,43.7272,15.9058,74.86,50,0,3.0,clear sky
307,Kununurra,AU,-15.7667,128.7333,64.38,77,99,1.14,overcast clouds
308,Gamba,GA,-2.65,10.0,70.97,82,83,7.87,broken clouds
309,Nabire,ID,-3.3667,135.4833,75.42,91,48,2.86,scattered clouds
310,Arman,RU,59.7,150.1667,69.28,58,100,3.44,overcast clouds
311,Santiago Del Estero,AR,-27.7951,-64.2615,57.81,39,0,6.78,clear sky
312,Luau,AO,-10.7073,22.2247,62.87,36,6,4.94,clear sky
313,Beidao,CN,34.5686,105.8933,68.09,92,100,0.89,overcast clouds
314,Yar-Sale,RU,66.8333,70.8333,52.61,65,46,7.61,scattered clouds
315,Kharian,PK,32.8149,73.8636,87.15,54,71,5.53,broken clouds
316,Camacupa,AO,-12.0167,17.4833,58.33,34,0,3.49,clear sky
317,Bubaque,GW,11.2833,-15.8333,80.49,82,99,13.8,overcast clouds
318,Balakhta,RU,55.38,91.6,56.79,96,68,1.16,light rain
319,San Quintin,MX,30.4833,-115.95,74.57,68,4,13.73,clear sky
320,Kruisfontein,ZA,-34.0033,24.7314,47.84,54,26,5.91,scattered clouds
321,Visnes,NO,59.3556,5.2242,59.58,77,0,21.85,clear sky
322,Uhlove,UA,44.8215,33.6045,74.57,52,0,6.78,clear sky
323,Torbay,CA,47.6666,-52.7314,66.67,66,16,14.03,few clouds
324,Kosa,RU,59.9445,54.9977,57.09,97,64,4.29,broken clouds
325,Manturovo,RU,58.3353,44.7619,66.06,77,70,3.0,broken clouds
326,Alta Floresta,BR,-9.8756,-56.0861,80.04,34,2,0.98,clear sky
327,Lavrentiya,RU,65.5833,-171.0,55.58,71,58,14.47,broken clouds
328,Amot,NO,59.5714,7.9877,61.75,61,0,7.45,clear sky
329,Nador,MA,35.174,-2.9287,71.85,83,75,8.05,broken clouds
330,Port Hardy,CA,50.6996,-127.4199,58.75,79,100,3.49,overcast clouds
331,Tazovskiy,RU,67.4667,78.7,47.73,64,100,8.93,overcast clouds
332,Stryn,NO,61.9045,6.7226,57.31,84,5,2.98,clear sky
333,Champerico,GT,14.3,-91.9167,90.77,71,38,5.26,scattered clouds
334,Vavuniya,LK,8.7514,80.4971,77.4,84,99,6.76,overcast clouds
335,Araguacu,BR,-12.9306,-49.8264,80.44,32,4,2.93,clear sky
